provincia,municipio,eur_m2_vivienda_nueva,eur_m2_vivienda_usada,eur_m2_total,n_tasaciones_nueva,n_tasaciones_usada,n_tasaciones_total
Almería,Almería,2053.2,1588.4,1603.6,83,598,681
Almería,Nijar,,1074.9,1084.8,5,101,106
Almería,Roquetas de Mar,1649.6,1507.2,1508.5,39,503,542
Almería,Ejido (El),1751.6,1130.7,1142.6,21,324,345
Cádiz,Algeciras,,1422.1,1422.9,13,408,421
Cádiz,Arcos de la frontera,1387.8,1182.2,1185.0,33,91,124
Cádiz,Cádiz,3224.9,2959.4,2965.6,25,291,316
Cádiz,Chiclana de la Frontera,2325.8,2060.9,2065.9,33,318,351
Cádiz,Jerez de la Frontera,2254.1,1659.0,1672.4,141,730,871
Cádiz,Línea de la Concepción (La),,1422.4,1424.9,11,182,193
Cádiz,Puerto de Santa María,2074.4,2341.8,2335.5,46,287,333
Cádiz,Puerto Real,1995.6,1739.3,1747.5,21,119,140
Cádiz,Rota,,2843.3,2826.0,18,123,141
Cádiz,San Fernando,1954.5,1863.3,1865.6,28,300,328
Cádiz,Sanlúcar de Barrameda,2107.5,1868.5,1874.0,23,216,239
Cádiz,San Roque,,2267.5,2313.5,14,210,224
Córdoba,Córdoba,2181.3,1665.0,1695.9,137,1099,1236
Córdoba,Lucena,,1009.2,1013.7,5,106,111
Córdoba,Puente Génil,,985.5,986.5,5,76,81
Córdoba,Almuñecar,2345.1,2433.3,2432.3,21,135,156
Granada,Granada,2669.5,2319.3,2326.6,155,657,812
Granada,Motril,,1381.5,1385.9,12,187,199
Huelva,Huelva,1693.5,1508.0,1511.9,39,497,536
Huelva,Lepe,,1838.6,1836.2,6,170,176
Jaén,Andújar,,767.5,770.1,5,105,110
Jaén,Jaén,1559.3,1363.3,1365.8,36,463,499
Jaén,Linares,,836.1,836.4,18,206,224
Jaén,Úbeda,,877.8,879.4,7,113,120
Málaga,Alhaurín de la Torre,2759.2,2642.4,2651.4,34,119,153
Málaga,Antequera,,1411.2,1409.2,6,138,144
Málaga,Benalmádena,3548.4,3462.2,3464.6,57,373,430
