codigo_provincia,provincia,codigo_municipio,municipio,n_viviendas_colectiva,n_viviendas_unifamiliar,alquiler_eur_m2_mes_mediana,alquiler_eur_m2_mes_p25,alquiler_eur_m2_mes_p75,alquiler_eur_mes_mediana,alquiler_eur_mes_p25,alquiler_eur_mes_p75,superficie_m2_mediana,superficie_m2_p25,superficie_m2_p75,alquiler_eur_m2_mes_unifamiliar_mediana,alquiler_eur_mes_unifamiliar_mediana
01,Araba/Álava,01001,Alegría-Dulantzi,95,21,6.75,5.47,8.37,551.51,464.27,618.0,80.96,68.85,96.01,5.17,707.39
01,Araba/Álava,01002,Amurrio,330,17,6.34,5.66,7.04,562.9,501.37,628.25,89.71,79.58,101.12,3.75,618.0
01,Araba/Álava,01003,Aramaio,17,1,5.2,4.8,6.2,501.37,432.45,544.18,91.18,70.71,109.82,,
01,Araba/Álava,01004,Artziniega,41,7,6.53,5.83,7.46,515.0,439.94,596.13,80.46,68.38,85.77,,
01,Araba/Álava,01009,Asparrena,38,6,5.26,4.5,6.13,426.16,401.92,465.33,85.08,68.3,95.06,,
01,Araba/Álava,01010,Ayala/Aiara,20,9,4.92,4.18,6.13,482.44,401.1,598.19,99.03,87.71,105.7,,
01,Araba/Álava,01017,Campezo/Kanpezu,10,9,4.54,3.94,5.75,401.1,361.37,496.51,91.16,71.91,104.08,,
01,Araba/Álava,01028,Labastida/Bastida,15,4,5.79,5.47,6.68,401.1,381.04,473.38,68.72,65.71,75.04,,
01,Araba/Álava,01031,Laguardia,24,3,6.13,5.42,7.09,473.61,429.95,513.71,73.65,63.26,86.04,,
01,Araba/Álava,01033,Lapuebla de Labarca,10,1,4.64,3.92,6.78,400.55,300.82,428.67,71.49,60.39,95.07,,
01,Araba/Álava,01036,Laudio/Llodio,534,9,7.42,6.64,8.34,586.63,511.4,648.96,78.07,68.88,87.44,,
01,Araba/Álava,01042,Okondo,12,1,5.53,5.02,5.63,478.17,428.0,540.1,90.34,83.75,96.4,,
01,Araba/Álava,01043,Oyón-Oion,85,4,5.22,4.36,6.06,420.0,355.73,474.4,81.0,72.09,96.14,,
01,Araba/Álava,01047,Ribera Baja/Erriberabeitia,13,9,6.87,6.2,8.57,476.3,443.94,595.44,76.74,53.02,92.83,,
01,Araba/Álava,01051,Agurain/Salvatierra,164,2,5.97,5.38,6.62,501.37,448.67,551.51,85.33,76.92,92.35,,
01,Araba/Álava,01054,Urkabustaiz,41,6,5.32,4.67,6.26,500.0,443.72,542.9,90.28,77.65,101.46,,
01,Araba/Álava,01058,Legutio,48,10,6.3,5.18,7.84,551.54,495.67,613.5,82.3,74.08,100.73,4.61,580.4
01,Araba/Álava,01059,Vitoria-Gasteiz,9321,129,9.21,7.93,10.72,721.0,623.83,812.83,78.57,66.43,91.16,7.33,920.52
01,Araba/Álava,01063,Zuia,34,18,6.21,5.27,7.6,618.85,533.47,766.72,100.0,89.34,113.32,5.08,876.15
01,Araba/Álava,01901,Iruña Oka/Iruña de Oca,40,19,5.61,5.05,6.84,495.48,446.72,627.66,91.83,81.48,97.5,5.01,601.64
02,Albacete,02003,Albacete,9655,356,5.98,4.79,7.47,532.91,450.0,638.0,92.0,75.0,111.0,5.39,600.0
02,Albacete,02007,Alcalá del Júcar,20,8,4.68,3.68,6.0,370.42,327.5,428.85,93.0,71.0,102.25,,
02,Albacete,02008,Alcaraz,14,18,3.54,2.22,3.86,311.24,272.5,329.97,97.0,75.5,135.5,2.24,299.3
02,Albacete,02009,Almansa,702,78,4.21,3.36,5.39,400.0,330.0,457.61,100.0,78.0,120.0,3.41,400.0
02,Albacete,02010,Alpera,10,15,2.6,2.24,3.36,300.0,288.76,415.0,103.0,86.75,177.5,2.16,250.0
02,Albacete,02012,Balazote,23,11,3.49,2.55,4.01,360.0,320.83,450.0,127.0,106.0,150.0,3.18,400.0
02,Albacete,02024,Casas-Ibáñez,120,59,3.5,2.8,4.15,322.5,256.25,397.97,96.0,80.0,113.0,2.77,349.22
02,Albacete,02025,Caudete,216,40,3.02,2.49,3.68,320.0,269.68,370.8,108.0,95.0,122.0,2.35,307.05
02,Albacete,02029,Chinchilla de Monte-Aragón,173,49,5.22,4.35,6.45,400.0,350.0,450.0,79.0,65.0,102.5,3.43,400.0
02,Albacete,02030,Elche de la Sierra,44,11,2.64,2.14,3.58,265.35,250.0,300.0,105.0,86.5,124.0,1.72,300.0
02,Albacete,02034,Fuentealbilla,13,24,2.82,2.63,3.05,324.0,300.0,344.59,114.0,103.0,124.0,2.71,300.0
02,Albacete,02035,"Gineta, La",20,47,3.56,2.42,5.0,340.0,270.0,396.07,110.0,95.0,125.75,3.33,407.5
02,Albacete,02037,Hellín,780,151,3.54,2.8,4.6,350.0,290.0,400.0,104.0,79.0,125.75,2.85,315.0
02,Albacete,02045,Madrigueras,35,73,3.07,2.61,4.22,333.33,278.68,391.67,97.0,86.0,131.0,2.84,350.0
02,Albacete,02051,Montealegre del Castillo,10,21,2.91,2.4,3.7,350.0,315.0,414.36,112.0,104.75,161.25,2.31,300.0
